seed,schedule_id,category,label,efcl_cost,aer_fidelity,neglog_aer_fidelity,efcl_makespan,aer_makespan,efcl_exec,efcl_idle,efcl_comm,efcl_move,aer_comm_count,aer_move_count,aer_swap_count,aer_n_blocks,anchor,operator,anchor_moves,sched_moves,d_moves,schedule,efcl_rank,aer_rank
3,6,perturb,B2p0,1.4929803609848022,0.3650600517458778,1.0076934136012814,22827.69140625,26340.0,0.02973148226737976,0.8693549036979675,0.09137753397226334,0.5025163292884827,3,50,5,18,B2,B,50,50,0,00010111|11010100|10011100|00011101|10011001|00011101|10110100|00010111|10100011|00110011|01100011|11101000|11101000|01101100|01100110|01001011|00011101|00011101|10110001|10010101,16,14
3,7,perturb,B2p1,1.3478001356124878,0.40073436042825916,0.9144565140100588,21058.4609375,24720.0,0.03489794582128525,0.7896687984466553,0.060918357223272324,0.46231502294540405,2,46,5,17,B2,B,50,46,-4,00010111|11010100|10011100|00011101|10011001|00011101|10110100|00010111|10100011|00110011|01100011|11101000|01101100|01101100|01100110|01001011|00011101|00011101|00011101|10010101,14,12
3,8,perturb,B3p0,0.6958118081092834,0.5918328633093266,0.5245310094504779,14250.76953125,16500.0,0.07030538469552994,0.463468462228775,0.12183671444654465,0.04020130634307861,4,4,1,3,B3,B,4,4,0,10110100|10110100|10110100|10110100|10110100|10110100|10110100|10110100|10110100|10110100|00110101|00110101|00110101|10100101|10100101|10100101|10100101|10100101|10100101|10100101,5,4
3,9,perturb,B3p1,0.7212584614753723,0.5920553205537276,0.5241552015827227,14250.76953125,15500.0,0.0652928426861763,0.463468462228775,0.15229588747024536,0.04020130634307861,5,4,3,3,B3,B,4,4,0,10110100|10110100|10110100|10110100|10110100|10110100|10110100|10110100|10110100|00110101|00110101|00110101|10100101|10100101|10100101|10100101|10100101|10100101|10100101|10100101,7,3
3,10,random,R0.0,0.7709805369377136,0.5312010847488655,0.6326146387495855,11750.76953125,11720.0,0.035367850214242935,0.30918416380882263,0.42642849683761597,0.0,14,0,0,1,,,,0,,01010101|01010101|01010101|01010101|01010101|01010101|01010101|01010101|01010101|01010101|01010101|01010101|01010101|01010101|01010101|01010101|01010101|01010101|01010101|01010101,8,9
3,11,random,R0.0,0.7831735014915466,0.5615132767167644,0.5771198599954427,13500.0,13500.0,0.0525125190615654,0.4260692298412323,0.3045917749404907,0.0,10,0,1,1,,,,0,,10100101|10100101|10100101|10100101|10100101|10100101|10100101|10100101|10100101|10100101|10100101|10100101|10100101|10100101|10100101|10100101|10100101|10100101|10100101|10100101,9,8
3,12,random,R0.1,1.0906987190246582,0.4381780371144731,0.8251299737649579,17500.0,19000.0,0.03660222887992859,0.5472654104232788,0.42642849683761597,0.08040261268615723,14,8,1,5,,,,8,,01000111|00001111|00001111|01000111|01000111|01000111|01000111|11000110|11000110|11000110|11000110|11000110|11000110|11000110|11000110|10100110|10100110|10100110|10100110|10100110,11,11
3,13,random,R0.1,0.8111633658409119,0.5258358095237516,0.6427662641675161,13020.0,13020.0,0.04098989814519882,0.37420418858528137,0.39596930146217346,0.0,13,0,1,1,,,,0,,01100110|01100110|01100110|01100110|01100110|01100110|01100110|01100110|01100110|01100110|01100110|01100110|01100110|01100110|01100110|01100110|01100110|01100110|01100110|01100110,10,10
3,14,random,R0.5,1.2663646936416626,0.33827743088498674,1.0838889187375287,18981.5390625,24000.0,0.029154596850275993,0.5585987567901611,0.5178060531616211,0.16080522537231445,17,16,1,9,,,,16,,10100101|10100101|00100111|00100111|00100111|00110101|00110101|00101101|00111001|00111001|00011011|00011011|01011001|01011001|01011001|01001101|01001101|01001101|01011001|01011001,12,15
3,15,random,R0.5,1.339676022529602,0.301289730307421,1.199682918035401,22520.0,26500.0,0.033365003764629364,0.5771399736404419,0.5482652187347412,0.18090587854385376,18,18,0,10,,,,18,,11010001|11010001|01011001|01110001|01110001|01110001|01100101|01100101|01100101|01100101|01110100|01110010|01100011|00100111|00100111|10100110|10100110|10100110|10100110|00110110,13,16
4,0,baseline,B1,0.7954911589622498,0.5062757873513416,0.6806737238807242,12622.0810546875,12740.0,0.048055119812488556,0.2905483841896057,0.4568876326084137,0.0,15,0,2,1,,,0,0,0,00010111|00010111|00010111|00010111|00010111|00010111|00010111|00010111|00010111|00010111|00010111|00010111|00010111|00010111|00010111|00010111|00010111|00010111|00010111|00010111,4,3
4,1,baseline,B2,1.4486753940582275,0.36937852509442,0.9959333474644834,22701.591796875,26900.0,0.0469159334897995,0.81699138879776,0.18275506794452667,0.40201306343078613,6,40,8,15,,,40,40,0,01001011|00001111|10000111|00010111|00010111|00010111|00010111|01110100|01010101|01010101|01010101|11000101|00011101|11100001|11000011|00001111|00011011|01101010|00111010|00101110,16,15
4,2,baseline,B3,0.7292174696922302,0.5339496091064887,0.6274538094437183,16250.7685546875,19320.0,0.10052695125341415,0.4160926342010498,0.15229588747024536,0.06030195951461792,5,6,3,4,,,6,6,0,11101000|11101000|11101000|11101000|11101000|11101000|11101000|11101000|10101010|10101010|10101010|10101010|10011010|10011010|10011010|10011010|10011010|10001110|10001110|10001110,1,2
4,3,baseline,B4,0.9047127366065979,0.4572244189247383,0.78258093876608,13347.6923828125,13880.0,0.040727779269218445,0.31571969389915466,0.5482651591300964,0.0,18,0,2,1,,,0,0,0,00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111|00001111,5,6
