seed,family,depth,n_hot,p_cold,duty_spread,mean_duty,contested,n_2q,cut,f_2xSC,f_2xNA,f_SCNA,mk_2xSC,mk_2xNA,mk_SCNA,comm_2xSC,comm_2xNA,comm_SCNA,part_2xSC,part_2xNA,part_SCNA,best_homo,f_best_homo,mk_best_homo,rel_gain_pct,mk_ratio,mk_dominated,pareto_win,winner,liveness,idle_rate
45,hotcore,20,4,0.103,0.2632,0.3527,0,26,4,0.750804,0.750838,0.772808,5440.0,17500.0,8520.0,4,4,4,0|5|6|7,0|5|6|7,0|5|6|7,2xNA,0.750838,17500.0,8.818,0.4869,0,1,SC+NA,0.443750,0.556250
46,hotcore,20,3,0.086,0.3288,0.2906,0,21,1,0.861943,0.84556,0.890741,5020.0,19500.0,5820.0,1,1,1,0|2|4|6,0|2|4|6,0|2|4|6,2xSC,0.861943,5020.0,20.859,1.1594,1,0,SC+NA,0.412500,0.587500
47,hotcore,20,4,0.092,0.2984,0.362,0,25,5,0.716214,0.748636,0.757883,6300.0,18500.0,9560.0,5,5,5,0|1|2|6,0|1|2|6,3|4|5|7,2xNA,0.748636,18500.0,3.678,0.5168,0,1,SC+NA,0.481250,0.518750
48,hotcore,20,4,0.035,0.2935,0.3084,0,21,2,0.826268,0.812706,0.872158,4500.0,17500.0,5140.0,2,2,2,0|2|4|6,0|2|4|6,1|3|5|7,2xSC,0.826268,4500.0,26.414,1.1422,1,0,SC+NA,0.443750,0.556250
49,hotcore,20,5,0.089,0.2836,0.4332,1,32,13,0.584826,0.569052,0.53262,4060.0,18500.0,13820.0,13,13,14,0|3|4|6,0|3|4|6,0|1|5|7,2xSC,0.584826,4060.0,-12.574,3.4039,0,0,2xSC,0.537500,0.462500
50,hotcore,20,3,0.061,0.3178,0.2623,0,17,0,0.850418,0.883498,0.929151,4840.0,17000.0,4840.0,0,0,0,0|2|6|7,0|2|6|7,0|2|6|7,2xNA,0.883498,17000.0,39.187,0.2847,0,1,SC+NA,0.356250,0.643750
51,hotcore,20,3,0.105,0.2358,0.3015,0,21,7,0.726721,0.731237,0.730518,4280.0,17500.0,7840.0,7,7,8,0|1|5|7,0|1|5|7,3|4|5|6,2xNA,0.731237,17500.0,-0.268,0.448,0,0,2xNA,0.381250,0.618750
52,hotcore,20,4,0.02,0.3481,0.3488,0,25,0,0.800569,0.838438,0.91083,7060.0,18500.0,7060.0,0,0,0,0|1|3|5,0|1|3|5,0|1|3|5,2xNA,0.838438,18500.0,44.808,0.3816,0,1,SC+NA,0.518750,0.481250
53,hotcore,20,5,0.179,0.2156,0.4548,1,33,13,0.580149,0.562685,0.501423,4280.0,17500.0,14500.0,13,13,13,0|1|5|6,0|1|5|6,1|2|5|7,2xSC,0.580149,4280.0,-18.751,3.3879,0,0,2xSC,0.631250,0.368750
54,hotcore,20,4,0.036,0.3157,0.3325,0,24,1,0.799906,0.815077,0.875967,6460.0,18500.0,6480.0,1,1,1,0|2|4|5,0|2|4|5,1|3|6|7,2xNA,0.815077,18500.0,32.927,0.3503,0,1,SC+NA,0.475000,0.525000
55,hotcore,20,5,0.191,0.2799,0.4554,1,32,10,0.614795,0.60943,0.573194,4060.0,18500.0,13600.0,11,10,10,0|2|4|6,0|3|5|7,1|2|4|6,2xSC,0.614795,4060.0,-10.8,3.3498,0,0,2xSC,0.543750,0.456250
56,hotcore,20,5,0.116,0.3293,0.481,1,35,13,0.546105,0.544474,0.514405,4700.0,19000.0,15500.0,15,13,13,0|3|5|6,0|2|4|5,1|3|6|7,2xSC,0.546105,4700.0,-6.984,3.2979,0,0,2xSC,0.656250,0.343750
57,hotcore,20,5,0.122,0.3169,0.4319,1,32,11,0.560759,0.587231,0.576383,6040.0,18000.0,12420.0,12,11,11,0|1|3|7,0|1|6|7,2|3|4|5,2xNA,0.587231,18000.0,-2.628,0.69,0,0,2xNA,0.525000,0.475000
58,hotcore,20,3,0.049,0.3251,0.2935,0,17,2,0.809317,0.840092,0.866931,4920.0,17000.0,5720.0,2,2,2,0|1|2|3,0|1|2|3,0|1|2|3,2xNA,0.840092,17000.0,16.784,0.3365,0,1,SC+NA,0.362500,0.637500
